X,X.1,CHARACTER_ID,SCRIPT_ID,CHARACTER_NAME,ACTOR_NAME,PARTIAL_MATCH,GENDER,MISGENDER,CHARACTER_RACE,ACTOR_RACE,PART_WHITE,AGE,EXTRACTED_WORDS,POLYGRAPH_.WORDS,IMDB_ACTOR_HOMEPAGE,GOOGLE_IMAGE_SEARCH
427,8016,2539,1257,marsellus wallace,Ving Rhames,y,m,,b,b,n,35,354,456,http://www.imdb.com/name/nm0000609/?ref_=ttfc_fc_cl_t10,https://www.google.com/search?q=Ving+Rhames+actor&source=lnms&tbm=isch
428,8015,8954,2933,luther stickell,Ving Rhames,n,m,,b,b,n,37,255,956,http://www.imdb.com/name/nm0000609/?ref_=ttfc_fc_cl_t6,https://www.google.com/search?q=Ving+Rhames+actor&source=lnms&tbm=isch
429,8023,7349,2530,aibileen clark,Viola Davis,n,f,,b,b,n,46,1819,5010,http://www.imdb.com/name/nm0205626/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Viola+Davis+actress&source=lnms&tbm=isch
430,8037,1662,1030,jasmine dubrow,Vivica A. Fox,n,f,,b,b,n,32,256,336,http://www.imdb.com/name/nm0000407/?ref_=ttfc_fc_cl_t9,https://www.google.com/search?q=Vivica+A.+Fox+actress&source=lnms&tbm=isch
431,8092,9461,3047,daniel burdon,Wendell B. Harris Jr.,n,m,,b,b,n,44,440,1352,http://www.imdb.com/name/nm0364389/?ref_=ttfc_fc_cl_t21,https://www.google.com/search?q=Wendell+Jr.+actor&source=lnms&tbm=isch
432,8113,4754,1843,blade,Wesley Snipes,n,m,,b,b,n,36,926,3334,http://www.imdb.com/name/nm0000648/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Wesley+Snipes+actor&source=lnms&tbm=isch
433,8112,4766,1846,blade,Wesley Snipes,n,m,,b,b,n,40,822,3126,http://www.imdb.com/name/nm0000648/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Wesley+Snipes+actor&source=lnms&tbm=isch
434,8111,12092,3936,blade,Wesley Snipes,n,m,,b,b,n,42,348,676,http://www.imdb.com/name/nm0000648/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Wesley+Snipes+actor&source=lnms&tbm=isch
435,8120,15695,5287,jane,Whoopi Goldberg,n,f,,b,b,n,40,2170,2981,http://www.imdb.com/name/nm0000155/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Whoopi+Goldberg+actress&source=lnms&tbm=isch
436,8119,15105,5035,guinan,Whoopi Goldberg,y,f,,b,b,n,39,334,569,http://www.imdb.com/name/nm0000155/?ref_=ttfc_fc_cl_t54,https://www.google.com/search?q=Whoopi+Goldberg+actress&source=lnms&tbm=isch
437,8118,2180,1166,death,Whoopi Goldberg,n,f,,b,b,n,46,245,340,http://www.imdb.com/name/nm0000155/?ref_=ttfc_fc_cl_t12,https://www.google.com/search?q=Whoopi+Goldberg+actress&source=lnms&tbm=isch
438,8133,153,653,muhammad ali,Will Smith,y,m,,b,b,n,33,2393,4042,http://www.imdb.com/name/nm0000226/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Will+Smith+actor&source=lnms&tbm=isch
439,8132,13339,4392,robert neville,Will Smith,n,m,,b,b,n,39,2008,3319,http://www.imdb.com/name/nm0000226/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Will+Smith+actor&source=lnms&tbm=isch
440,8131,2129,1148,jay,Will Smith,n,m,,b,b,n,29,985,1340,http://www.imdb.com/name/nm0000226/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Will+Smith+actor&source=lnms&tbm=isch
441,8193,7342,2529,detective lange,William S. Taylor,n,m,,b,b,n,NA,351,765,http://www.imdb.com/name/nm0853335/?ref_=ttfc_fc_cl_t8,https://www.google.com/search?q=William+S.+Taylor+actor&source=lnms&tbm=isch
442,8223,6173,2190,gordon ngubene,Winston Ntshona,n,m,,b,b,n,48,510,800,http://www.imdb.com/name/nm0637681/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Winston+Ntshona+actor&source=lnms&tbm=isch
443,8243,3839,1576,parker,Yaphet Kotto,n,m,,b,b,n,40,478,980,http://www.imdb.com/name/nm0001433/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Yaphet+Kotto+actor&source=lnms&tbm=isch
444,8245,7431,2547,ford prefect,Yasiin Bey,y,m,,b,b,n,32,996,3030,http://www.imdb.com/name/nm0080049/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Yasiin+Bey+actor&source=lnms&tbm=isch
445,8244,11658,3742,sgt. lucas,Yasiin Bey,y,m,,b,b,n,31,465,1524,http://www.imdb.com/name/nm0080049/?ref_=ttfc_fc_cl_t9,https://www.google.com/search?q=Yasiin+Bey+actor&source=lnms&tbm=isch
446,8246,7454,2550,china doll,Yaya DaCosta,n,f,,b,b,n,25,406,787,http://www.imdb.com/name/nm1861624/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Yaya+DaCosta+actress&source=lnms&tbm=isch
447,8268,6179,2190,stanley makhaya,Zakes Mokae,n,m,,b,b,n,55,1010,1504,http://www.imdb.com/name/nm0596310/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Zakes+Mokae+actor&source=lnms&tbm=isch
449,8276,8581,2805,aisha,Zoe Saldana,y,f,,b,b,n,32,382,914,http://www.imdb.com/name/nm0757855/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Zoe+Saldana+actress&source=lnms&tbm=isch
450,8275,3056,1361,uhura,Zoe Saldana,y,f,,b,b,n,77,323,471,http://www.imdb.com/name/nm0757855/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Zoe+Saldana+actress&source=lnms&tbm=isch
475,638,6928,2387,jack beynon,Ben Johnson,n,m,,w,i,y,54,265,444,http://www.imdb.com/name/nm0424565/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Ben+Johnson+actor&source=lnms&tbm=isch
476,1436,261,697,maura ramirez,Claudia Ferri,n,f,,l,w,,NA,2416,314,http://www.imdb.com/name/nm0274750/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Claudia+Ferri+actress&source=lnms&tbm=isch
477,1472,1149,910,bartender,Clu Gulager,n,m,,w,i,y,77,194,265,http://www.imdb.com/name/nm0347656/?ref_=ttfc_fc_cl_t9,https://www.google.com/search?q=Clu+Gulager+actor&source=lnms&tbm=isch
478,1564,12377,4039,agent lowry,Cylk Cozart,n,m,,b,i,n,40,317,435,http://www.imdb.com/name/nm0185475/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Cylk+Cozart+actor&source=lnms&tbm=isch
479,1826,5020,1907,noah vosen,David Strathairn,n,m,,w,w,,58,1014,3516,http://www.imdb.com/name/nm0000657/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=David+Strathairn+actor&source=lnms&tbm=isch
480,1825,8403,2777,william seward,David Strathairn,n,m,,w,w,,63,654,1314,http://www.imdb.com/name/nm0000657/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=David+Strathairn+actor&source=lnms&tbm=isch
